Section ID,Length (m),Straights,Bends,Forward Tension (N),Reverse Tension (N),Max Sidewall Pressure (N/m),Cumulative Forward (N),Cumulative Reverse (N)
SECT_01,400.21049878015333,19,17,19224.25197158519,296.1584498891676,17031.735627873415,19224.25197158519,110483.86078232765
SECT_02,23.161955101837286,3,2,700.9236121127881,194.15511985182138,147.17479597279177,19925.175583697976,111228.226117041
SECT_03,478.7058307064286,23,20,24120.05855075361,241.26771691386168,6412.39034931235,44045.23413445159,137109.15508182798
SECT_04,17.118617696011967,3,2,575.3096620466778,107.35558746979595,145.59714613530298,44620.54379649826,137609.4414843806
SECT_05_01,442.07596458560585,19,18,35098.641268575666,292.3040446601156,8843.157868444288,79719.18506507392,160737.60953283668
SECT_05_02,475.78131733920486,19,18,19856.862715260602,254.51437042195045,5006.768827662582,99576.04778033453,181697.92460503132
SECT_06,20.969594060818974,1,0,312.27380614412795,312.27380614412795,0.0,99888.32158647866,182010.19841117546
SECT_07_01,466.5573008717632,31,29,31462.0832731371,332.1607110546684,15865.885482963384,131350.40485961575,244460.631682727
SECT_07_02,441.49252945201187,9,8,13373.802735161855,312.39007855008094,3225.9254801300976,144724.2075947776,259884.09486301543
SECT_07_03,458.4163571003115,19,17,28399.152308823464,279.0223271960882,7157.533212346651,173123.35990360106,282921.0670648752
SECT_08,20.96446541853642,1,0,312.2630139376264,312.2630139376264,0.0,173435.62291753868,283233.33007881284
SECT_09,117.24268208101374,11,9,8091.85540714567,295.2131158567605,2282.204454791285,181527.47832468434,292281.85685201245
SECT_10,23.446275301748308,3,2,859.8859811830744,215.55383810270453,175.87341553470347,182387.3643058674,293163.0781298028
SECT_11_01,439.69324760113057,25,22,25322.516919380556,304.14924875585075,14703.678701525178,207709.88122524795,350512.1400386705
SECT_11_02,442.77987742676237,18,17,21935.79296957687,341.6399627906085,6975.871763487489,229645.67419482482,378995.6630062375
SECT_11_03,412.9843518094608,16,15,20103.020128745655,231.70739257860893,5093.884764101093,249748.69432357047,398723.4542022568
SECT_11_04,447.46039808310144,26,24,32283.49738425707,310.87187329155654,19542.12238210658,282032.19170782756,475478.6938952974
SECT_11_05,424.7495591232477,10,8,15687.709425334166,344.0187347001452,3504.323376163335,297719.90113316174,489472.6325968126
SECT_12,44.416416616153725,2,1,821.1047977265274,326.5800236438571,86.2437615960309,298541.0059308883,490191.91269190697
SECT_13_01,267.11800508199457,10,8,9820.951238992197,310.19105089132466,2450.869645167528,308361.9571698805,499770.2427776796
SECT_13_02,268.7586961348674,15,13,40079.37701946675,286.40946625532024,10135.720224150637,348441.3341893473,516856.63392691704
